time	acceleration_x	acceleration_y	acceleration_z	gyroscope_x	gyroscope_y	gyroscope_z	magnetometer_x	magnetometer_y	magnetometer_z	quaternion_w	quaternion_x	quaternion_y	quaternion_z
0	-9.6697	0.1160	-1.3279	-0.0077	-0.0078	0.0001	23.6821	1.2463	11.7904	0.6564	0.0616	0.7505	-0.0468
0.01	-9.6683	0.1088	-1.3390	-0.0081	-0.0012	0.0070	23.5131	1.1138	11.6829	0.6564	0.0615	0.7504	-0.0468
0.02	-9.6589	0.1064	-1.3253	-0.0213	-0.0067	0.0048	23.7672	1.0858	11.7335	0.6564	0.0615	0.7505	-0.0468
0.03	-9.6619	0.0962	-1.3200	-0.0100	-0.0061	0.0091	23.6468	1.1118	11.7310	0.6563	0.0615	0.7504	-0.0468
0.04	-9.6763	0.0797	-1.3178	-0.0105	-0.0093	0.0056	23.5022	1.0716	11.5637	0.6564	0.0615	0.7505	-0.0468
0.05	-9.6761	0.0802	-1.3200	-0.0033	-0.0114	0.0079	23.9550	0.8163	11.6210	0.6564	0.0615	0.7505	-0.0468
0.06	-9.6668	0.0813	-1.3108	-0.0028	-0.0115	0.0164	23.8114	0.9663	11.9314	0.6564	0.0615	0.7504	-0.0467
0.07	-9.6697	0.0806	-1.3202	-0.0016	-0.0110	0.0104	23.7450	0.7993	11.8982	0.6565	0.0615	0.7505	-0.0468
0.08	-9.6623	0.0824	-1.3121	-0.0013	-0.0102	0.0072	23.8565	0.9525	11.7597	0.6564	0.0615	0.7504	-0.0468
0.09	-9.6666	0.0867	-1.3069	-0.0049	-0.0121	0.0107	23.7978	1.0008	11.7139	0.6565	0.0616	0.7505	-0.0468
0.1	-9.6635	0.1051	-1.3267	0.0001	-0.0054	0.0098	23.9292	0.8228	11.7455	0.6564	0.0616	0.7504	-0.0468
0.11	-9.6615	0.1168	-1.3189	-0.0024	-0.0039	0.0025	23.8831	0.9760	11.6075	0.6564	0.0616	0.7505	-0.0468
0.12	-9.6609	0.1336	-1.3092	-0.0055	-0.0079	0.0045	23.6579	0.9072	11.5116	0.6564	0.0616	0.7504	-0.0468
0.13	-9.6762	0.1305	-1.3052	-0.0056	-0.0074	0.0109	23.7241	0.9999	11.6554	0.6564	0.0616	0.7504	-0.0468
0.14	-9.6658	0.1328	-1.3063	-0.0046	-0.0062	0.0103	23.8725	1.1338	11.5211	0.6564	0.0616	0.7505	-0.0468
0.15	-9.6662	0.1351	-1.3067	-0.0103	-0.0085	0.0087	23.6494	1.0590	11.5918	0.6564	0.0616	0.7504	-0.0468
0.16	-9.6753	0.1266	-1.3042	-0.0153	-0.0075	0.0061	23.5819	1.1920	11.6319	0.6564	0.0616	0.7505	-0.0468
0.17	-9.6706	0.1193	-1.3042	-0.0036	-0.0037	0.0091	23.5101	1.0761	11.7090	0.6563	0.0616	0.7504	-0.0468
0.18	-9.6639	0.1191	-1.3169	-0.0119	-0.0041	0.0012	23.5075	1.1374	11.7231	0.6564	0.0615	0.7505	-0.0468
0.19	-9.6574	0.1244	-1.3132	-0.0019	-0.0011	0.0047	23.4892	1.1260	11.7129	0.6563	0.0615	0.7505	-0.0468
0.2	-9.6741	0.1238	-1.3118	-0.0078	-0.0031	0.0015	23.5809	0.8921	11.7239	0.6563	0.0615	0.7505	-0.0468
0.21	-9.6711	0.1241	-1.3192	-0.0075	-0.0045	0.0112	23.5790	1.0329	11.7282	0.6563	0.0615	0.7505	-0.0468
0.22	-9.6716	0.1085	-1.3214	-0.0070	-0.0047	0.0018	23.7260	0.9033	11.7035	0.6563	0.0615	0.7506	-0.0468
0.23	-9.6758	0.0868	-1.3153	-0.0029	-0.0125	0.0096	23.7335	0.9572	11.6188	0.6563	0.0615	0.7506	-0.0468
0.24	-9.6683	0.0927	-1.3076	-0.0058	-0.0091	0.0137	23.8413	0.8630	11.9802	0.6562	0.0615	0.7505	-0.0468
0.25	-9.6759	0.0925	-1.3156	-0.0061	-0.0120	0.0062	23.6969	0.8242	11.6171	0.6563	0.0615	0.7506	-0.0468
0.26	-9.6690	0.0906	-1.3184	-0.0188	-0.0113	0.0062	23.7332	0.9176	11.4653	0.6563	0.0615	0.7505	-0.0468
0.27	-9.6608	0.1004	-1.3246	-0.0167	-0.0078	0.0105	23.8986	0.8908	11.5942	0.6564	0.0615	0.7506	-0.0467
0.28	-9.6695	0.0920	-1.3187	-0.0143	-0.0099	0.0107	23.6357	0.7551	11.5363	0.6563	0.0614	0.7505	-0.0467
0.29	-9.6657	0.0911	-1.3070	-0.0146	-0.0082	0.0099	23.7922	0.8694	11.6764	0.6563	0.0614	0.7505	-0.0467
0.3	-9.6781	0.0867	-1.3195	-0.0148	-0.0028	0.0071	23.8666	0.8790	11.8113	0.6563	0.0614	0.7505	-0.0466
0.31	-9.6727	0.0809	-1.3253	-0.0102	-0.0067	0.0021	23.6724	1.0380	11.7468	0.6563	0.0614	0.7505	-0.0466
0.32	-9.6514	0.0923	-1.3203	-0.0067	-0.0112	0.0109	23.5797	0.9140	11.6149	0.6564	0.0614	0.7506	-0.0466
0.33	-9.6604	0.0972	-1.3085	-0.0102	-0.0034	0.0063	23.7106	0.9433	11.5050	0.6563	0.0614	0.7505	-0.0466
0.34	-9.6700	0.1078	-1.3117	-0.0074	-0.0086	0.0000	23.6344	1.1521	11.6721	0.6563	0.0613	0.7506	-0.0466
0.35	-9.6759	0.1071	-1.3149	-0.0058	-0.0055	0.0039	23.7631	1.2805	11.8306	0.6562	0.0613	0.7505	-0.0466
0.36	-9.6710	0.1011	-1.3119	-0.0076	-0.0052	0.0039	23.7233	1.0569	11.6857	0.6563	0.0613	0.7506	-0.0466
0.37	-9.6669	0.1026	-1.3131	-0.0115	-0.0067	0.0055	23.6481	1.1251	11.5902	0.6563	0.0613	0.7506	-0.0466
0.38	-9.6593	0.1067	-1.3026	-0.0088	-0.0028	0.0073	23.6797	1.0286	11.7477	0.6562	0.0612	0.7506	-0.0466
0.39	-9.6670	0.1184	-1.3141	-0.0108	-0.0027	0.0013	23.6579	0.9914	11.5973	0.6562	0.0612	0.7506	-0.0466
0.4	-9.6696	0.1232	-1.3181	-0.0101	-0.0091	0.0078	23.5720	1.0611	11.5720	0.6562	0.0612	0.7506	-0.0466
0.41	-9.6669	0.1302	-1.3119	-0.0030	-0.0094	0.0043	23.5973	0.8817	11.6294	0.6563	0.0612	0.7507	-0.0466
0.42	-9.6634	0.1257	-1.3102	-0.0013	-0.0106	0.0127	23.6383	0.8382	11.4078	0.6562	0.0612	0.7506	-0.0466
0.43	-9.6593	0.1210	-1.3099	-0.0064	-0.0099	0.0053	23.9189	0.9484	11.7332	0.6563	0.0612	0.7506	-0.0466
0.44	-9.6665	0.1047	-1.3111	-0.0102	-0.0100	0.0066	23.9759	0.6765	11.7011	0.6562	0.0612	0.7506	-0.0466
0.45	-9.6689	0.0970	-1.3227	-0.0093	-0.0080	0.0128	23.8326	0.9537	11.8414	0.6563	0.0612	0.7506	-0.0466
0.46	-9.6706	0.0994	-1.3130	-0.0059	-0.0046	0.0062	23.7206	0.9202	11.6884	0.6562	0.0612	0.7506	-0.0466
