onset	duration	trial_type
0	15.18	x0
15.18	0.34	x2
15.52	0.06	x1
15.58	0.2	x2
15.78	0.46	x1
16.24	0.14	x2
16.38	0.8	x1
17.18	0.28	x2
17.46	0.3	x1
17.76	0.16	x2
17.92	0.32	x1
18.24	0.26	x2
18.5	0.24	x1
18.74	0.1	x2
18.84	0.06	x1
18.9	0.62	x2
19.52	1.8	x1
21.32	0.04	x2
21.36	0.1	x1
21.46	0.08	x2
21.54	0.6	x1
22.14	0.06	x2
22.2	0.04	x1
22.24	0.04	x2
22.28	0.04	x1
22.32	0.06	x2
22.38	0.4	x1
22.78	0.06	x2
22.84	0.16	x1
23	0.22	x2
23.22	0.32	x1
23.54	0.08	x2
23.62	0.58	x1
24.2	1.12	x2
25.32	0.04	x1
25.36	0.36	x2
25.72	0.08	x1
25.8	0.06	x2
25.86	0.6	x1
26.46	1.1	x2
27.56	0.14	x1
27.7	0.6	x2
28.3	0.38	x1
28.68	0.64	x2
29.32	0.16	x1
29.48	0.12	x2
29.6	0.48	x1
30.08	1.16	x2
31.24	0.48	x1
31.72	0.88	x2
32.6	0.04	x1
32.64	0.52	x2
33.16	0.02	x1
33.18	0.34	x2
33.52	0.48	x1
34	2.3	x2
36.3	0.64	x1
36.94	0.5	x2
37.44	1.42	x1
38.86	0.74	x2
39.6	2.1	x1
41.7	0.22	x2
41.92	0.84	x1
42.76	0.12	x2
42.88	0.2	x1
43.08	0.06	x2
43.14	0.18	x1
43.32	0.08	x2
43.4	0.18	x1
43.58	0.18	x2
43.76	0.14	x1
43.9	0.18	x2
44.08	0.74	x1
44.82	0.78	x2
45.6	0.02	x1
45.62	0.12	x2
45.74	0.12	x1
45.86	0.1	x2
45.96	0.06	x1
46.02	0.24	x2
46.26	0.04	x1
46.3	0.58	x2
46.88	0.26	x1
47.14	0.04	x2
47.18	0.12	x1
47.3	0.54	x2
47.84	0.04	x1
47.88	0.2	x2
48.08	0.36	x1
48.44	0.28	x2
48.72	0.6	x1
49.32	0.96	x2
50.28	0.68	x1
50.96	0.52	x2
51.48	0.26	x1
51.74	0.06	x2
51.8	0.16	x1
51.96	0.42	x2
52.38	0.02	x1
52.4	0.44	x2
52.84	0.16	x1
53	0.88	x2
53.88	0.66	x1
54.54	0.14	x2
54.68	0.12	x1
54.8	0.06	x2
54.86	1.14	x1
56	0.28	x2
56.28	1.18	x1
57.46	0.1	x2
57.56	0.12	x1
57.68	2.34	x2
60.02	0.56	x1
60.58	0.04	x2
60.62	0.08	x1
60.7	0.68	x2
61.38	0.16	x1
61.54	0.4	x2
61.94	0.04	x1
61.98	0.04	x2
62.02	0.08	x1
62.1	0.14	x2
62.24	0.1	x1
62.34	0.14	x2
62.48	0.2	x1
62.68	0.04	x2
62.72	0.2	x1
62.92	0.2	x2
63.12	0.74	x1
63.86	0.04	x2
63.9	0.08	x1
63.98	0.02	x2
64	0.16	x1
64.16	1.28	x2
65.44	0.24	x1
65.68	0.04	x2
65.72	0.58	x1
66.3	0.18	x2
66.48	0.04	x1
66.52	0.08	x2
66.6	0.24	x1
66.84	0.06	x2
66.9	0.12	x1
67.02	0.6	x2
67.62	0.3	x1
67.92	0.26	x2
68.18	0.08	x1
68.26	0.32	x2
68.58	0.2	x1
68.78	0.74	x2
69.52	1	x1
70.52	0.58	x2
71.1	0.06	x1
71.16	0.34	x2
71.5	0.48	x1
71.98	0.32	x2
72.3	1.92	x1
74.22	0.88	x2
75.1	0.24	x1
75.34	0.6	x2
75.94	0.22	x1
76.16	0.08	x2
76.24	0.08	x1
76.32	0.42	x2
76.74	0.02	x1
76.76	0.1	x2
76.86	0.1	x1
76.96	0.02	x2
76.98	0.04	x1
77.02	0.02	x2
77.04	0.7	x1
77.74	0.02	x2
77.76	0.22	x1
77.98	0.12	x2
78.1	0.2	x1
78.3	0.64	x2
78.94	0.16	x1
79.1	0.66	x2
79.76	0.5	x1
80.26	0.04	x2
