onset	duration	trial_type
0	15.18	x0
15.18	0.1	x1
15.28	0.08	x2
15.36	0.04	x1
15.4	0.02	x2
15.42	0.04	x1
15.46	0.18	x2
15.64	0.54	x1
16.18	0.2	x2
16.38	0.32	x1
16.7	0.04	x2
16.74	0.06	x1
16.8	0.28	x2
17.08	0.24	x1
17.32	0.12	x2
17.44	0.12	x1
17.56	0.3	x2
17.86	0.14	x1
18	0.24	x2
18.24	0.18	x1
18.42	0.04	x2
18.46	0.18	x1
18.64	0.1	x2
18.74	0.04	x1
18.78	0.12	x2
18.9	0.06	x1
18.96	0.12	x2
19.08	0.08	x1
19.16	0.3	x2
19.46	0.06	x1
19.52	0.22	x2
19.74	0.08	x1
19.82	0.02	x2
19.84	0.02	x1
19.86	0.06	x2
19.92	0.56	x1
20.48	0.2	x2
20.68	0.06	x1
20.74	0.06	x2
20.8	0.36	x1
21.16	0.04	x2
21.2	0.3	x1
21.5	0.12	x2
21.62	0.36	x1
21.98	0.02	x2
22	0.9	x1
22.9	0.06	x2
22.96	0.04	x1
23	0.14	x2
23.14	0.32	x1
23.46	0.04	x2
23.5	0.1	x1
23.6	0.22	x2
23.82	0.2	x1
24.02	0.12	x2
24.14	0.02	x1
24.16	0.06	x2
24.22	0.14	x1
24.36	0.06	x2
24.42	0.04	x1
24.46	0.08	x2
24.54	0.26	x1
24.8	0.04	x2
24.84	0.48	x1
25.32	0.18	x2
25.5	0.18	x1
25.68	0.12	x2
25.8	0.04	x1
25.84	0.02	x2
25.86	0.18	x1
26.04	0.2	x2
26.24	0.12	x1
26.36	0.94	x2
27.3	0.2	x1
27.5	0.1	x2
27.6	0.04	x1
27.64	0.18	x2
27.82	0.04	x1
27.86	0.04	x2
27.9	0.18	x1
28.08	0.02	x2
28.1	0.14	x1
28.24	0.18	x2
28.42	0.52	x1
28.94	0.08	x2
29.02	0.12	x1
29.14	0.3	x2
29.44	0.26	x1
29.7	0.28	x2
29.98	0.1	x1
30.08	0.64	x2
30.72	0.1	x1
30.82	0.42	x2
31.24	0.08	x1
31.32	0.58	x2
31.9	0.16	x1
32.06	0.06	x2
32.12	0.18	x1
32.3	0.04	x2
32.34	0.3	x1
32.64	0.16	x2
32.8	0.34	x1
33.14	0.36	x2
33.5	0.22	x1
33.72	0.2	x2
33.92	0.14	x1
34.06	0.02	x2
34.08	0.04	x1
34.12	0.02	x2
34.14	0.42	x1
34.56	0.72	x2
35.28	0.06	x1
35.34	0.2	x2
35.54	0.42	x1
35.96	0.08	x2
36.04	0.58	x1
36.62	0.6	x2
37.22	0.04	x1
37.26	0.42	x2
37.68	0.74	x1
38.42	0.02	x2
38.44	0.14	x1
38.58	0.08	x2
38.66	0.06	x1
38.72	0.14	x2
38.86	0.6	x1
39.46	0.1	x2
39.56	0.22	x1
39.78	0.08	x2
39.86	0.04	x1
39.9	0.16	x2
40.06	0.06	x1
40.12	0.04	x2
40.16	0.22	x1
40.38	0.02	x2
40.4	0.04	x1
40.44	0.2	x2
40.64	0.08	x1
40.72	0.04	x2
40.76	0.32	x1
41.08	0.14	x2
41.22	0.32	x1
41.54	0.04	x2
41.58	0.24	x1
41.82	0.22	x2
42.04	0.04	x1
42.08	0.38	x2
42.46	0.08	x1
42.54	0.08	x2
42.62	0.06	x1
42.68	0.24	x2
42.92	0.1	x1
43.02	0.02	x2
43.04	0.1	x1
43.14	0.06	x2
43.2	0.02	x1
43.22	0.06	x2
43.28	0.04	x1
43.32	0.18	x2
43.5	0.16	x1
43.66	0.04	x2
43.7	0.28	x1
43.98	0.08	x2
44.06	0.08	x1
44.14	0.2	x2
44.34	0.04	x1
44.38	0.04	x2
44.42	0.02	x1
44.44	0.04	x2
44.48	0.06	x1
44.54	0.02	x2
44.56	0.06	x1
44.62	0.04	x2
44.66	0.04	x1
44.7	0.12	x2
44.82	0.12	x1
44.94	0.02	x2
44.96	0.14	x1
45.1	0.08	x2
45.18	0.1	x1
45.28	0.1	x2
45.38	0.26	x1
45.64	0.04	x2
45.68	0.16	x1
45.84	0.1	x2
45.94	0.08	x1
46.02	0.02	x2
46.04	0.14	x1
46.18	0.54	x2
46.72	0.5	x1
47.22	0.4	x2
47.62	0.16	x1
47.78	0.2	x2
47.98	0.22	x1
48.2	0.06	x2
48.26	0.04	x1
48.3	0.06	x2
48.36	0.08	x1
48.44	0.04	x2
48.48	0.5	x1
48.98	0.12	x2
49.1	0.16	x1
49.26	0.02	x2
