time	acceleration_x	acceleration_y	acceleration_z	gyroscope_x	gyroscope_y	gyroscope_z	magnetometer_x	magnetometer_y	magnetometer_z	quaternion_w	quaternion_x	quaternion_y	quaternion_z
0	0.0935	-9.7696	1.6783	0.0110	-0.0381	-0.0318	13.4201	19.3919	15.4773	0.7066	-0.6019	0.2368	-0.2870
0.01	0.1414	-9.8286	1.6506	0.0018	-0.0440	-0.0307	13.7305	19.0433	15.6141	0.7067	-0.6021	0.2365	-0.2869
0.02	0.1643	-9.7968	1.6586	0.0148	-0.0427	-0.0306	13.7888	19.3545	15.5238	0.7066	-0.6020	0.2363	-0.2868
0.03	0.1614	-9.8684	1.6941	-0.0058	-0.0432	-0.0291	13.6704	19.3576	15.2707	0.7067	-0.6022	0.2361	-0.2868
0.04	0.2081	-9.9293	1.6179	-0.0047	-0.0543	-0.0292	13.8108	19.1327	15.2075	0.7067	-0.6023	0.2358	-0.2867
0.05	0.2323	-9.8255	1.6296	0.0295	-0.0420	-0.0247	13.7521	19.3830	15.3339	0.7068	-0.6023	0.2355	-0.2866
0.06	0.2716	-9.7936	1.6753	0.0202	-0.0504	-0.0165	13.6989	19.5004	15.2994	0.7070	-0.6023	0.2353	-0.2865
0.07	0.3240	-9.8382	1.6354	0.0162	-0.0523	-0.0060	13.3747	19.4472	15.3812	0.7071	-0.6023	0.2351	-0.2863
0.08	0.3403	-9.8196	1.6628	0.0271	-0.0339	-0.0053	13.3344	19.5474	15.3700	0.7072	-0.6023	0.2349	-0.2863
0.09	0.3255	-9.8171	1.6907	0.0175	-0.0219	-0.0026	13.6168	19.5056	15.2908	0.7073	-0.6022	0.2348	-0.2861
0.1	0.3058	-9.8258	1.6728	0.0165	-0.0028	0.0035	13.6871	19.2211	15.4684	0.7074	-0.6022	0.2348	-0.2861
0.11	0.2762	-9.8199	1.6927	0.0275	0.0140	0.0038	13.5252	19.2641	15.3648	0.7075	-0.6020	0.2348	-0.2861
0.12	0.2411	-9.8007	1.6800	0.0238	0.0288	0.0096	13.4981	19.3231	15.2779	0.7076	-0.6019	0.2349	-0.2862
0.13	0.1969	-9.7562	1.6843	0.0318	0.0369	0.0001	13.4256	19.1933	15.5659	0.7076	-0.6017	0.2350	-0.2862
0.14	0.1576	-9.7294	1.6798	0.0341	0.0427	-0.0008	13.5182	19.4645	15.4319	0.7077	-0.6015	0.2351	-0.2864
0.15	0.1297	-9.7207	1.6700	0.0298	0.0477	-0.0041	13.5129	19.4694	15.2630	0.7078	-0.6014	0.2353	-0.2865
0.16	0.0989	-9.7310	1.6740	0.0260	0.0520	-0.0023	13.4833	19.4881	15.4356	0.7078	-0.6011	0.2354	-0.2867
0.17	0.0793	-9.7404	1.6705	0.0234	0.0494	-0.0031	13.5444	19.2546	15.4061	0.7079	-0.6010	0.2356	-0.2868
0.18	0.0488	-9.7319	1.6832	0.0274	0.0456	-0.0032	13.7200	19.1880	15.4259	0.7079	-0.6008	0.2357	-0.2870
0.19	0.0237	-9.7471	1.6898	0.0212	0.0433	-0.0014	13.6663	19.2784	15.4145	0.7080	-0.6007	0.2358	-0.2871
0.2	0.0149	-9.7794	1.6883	0.0078	0.0384	-0.0032	13.6887	19.4167	15.4279	0.7079	-0.6005	0.2359	-0.2872
0.21	0.0056	-9.7856	1.6814	0.0047	0.0358	-0.0050	13.5745	19.1251	15.2737	0.7079	-0.6005	0.2360	-0.2873
0.22	0.0007	-9.7772	1.6909	0.0033	0.0181	-0.0064	13.7755	19.3435	15.2291	0.7080	-0.6004	0.2361	-0.2873
0.23	0.0032	-9.7673	1.6731	-0.0027	0.0131	-0.0045	13.7708	19.4091	15.2199	0.7079	-0.6004	0.2361	-0.2873
0.24	0.0132	-9.7515	1.6692	-0.0069	0.0072	-0.0067	13.7673	19.3793	15.3590	0.7080	-0.6004	0.2362	-0.2874
0.25	0.0340	-9.7461	1.6787	-0.0116	-0.0065	-0.0076	13.7856	19.2600	15.4245	0.7079	-0.6004	0.2361	-0.2873
0.26	0.0496	-9.7619	1.6678	-0.0275	-0.0058	-0.0076	14.0069	19.4113	15.2184	0.7079	-0.6006	0.2361	-0.2873
0.27	0.0593	-9.7647	1.6645	-0.0201	-0.0146	-0.0079	14.6005	19.6229	15.2984	0.7078	-0.6006	0.2360	-0.2872
0.28	0.0728	-9.7558	1.6653	-0.0208	-0.0060	-0.0047	14.0472	19.4208	15.4947	0.7078	-0.6007	0.2361	-0.2871
0.29	0.0723	-9.7438	1.6608	-0.0226	-0.0056	-0.0046	13.6454	19.4315	15.3079	0.7078	-0.6007	0.2361	-0.2871
0.3	0.0788	-9.7568	1.6598	-0.0262	-0.0076	-0.0047	13.5454	19.6986	15.5895	0.7077	-0.6008	0.2361	-0.2870
0.31	0.0995	-9.7854	1.6460	-0.0269	-0.0062	-0.0039	13.3258	19.3897	15.3383	0.7077	-0.6009	0.2361	-0.2869
0.32	0.1091	-9.7891	1.6341	-0.0261	-0.0015	-0.0091	13.5486	19.3517	15.3571	0.7076	-0.6010	0.2361	-0.2869
0.33	0.1139	-9.7892	1.6402	-0.0222	0.0023	-0.0082	13.3311	19.5546	15.3378	0.7076	-0.6011	0.2361	-0.2869
0.34	0.1133	-9.8180	1.6399	-0.0255	0.0082	-0.0078	13.5838	19.4324	15.3576	0.7075	-0.6011	0.2361	-0.2868
0.35	0.1011	-9.8352	1.6244	-0.0247	0.0189	-0.0108	13.5110	19.3465	15.6474	0.7074	-0.6013	0.2362	-0.2869
