onset	duration	trial_type
0	15.18	x0
15.18	0.16	x1
15.34	0.08	x2
15.42	0.16	x1
15.58	0.38	x2
15.96	0.02	x1
15.98	0.02	x2
16	0.06	x1
16.06	0.02	x2
16.08	0.36	x1
16.44	0.08	x2
16.52	0.14	x1
16.66	0.02	x2
16.68	0.92	x1
17.6	0.26	x2
17.86	0.08	x1
17.94	0.54	x2
18.48	0.48	x1
18.96	0.78	x2
19.74	0.02	x1
19.76	0.2	x2
19.96	0.2	x1
20.16	0.06	x2
20.22	0.02	x1
20.24	0.22	x2
20.46	0.44	x1
20.9	0.02	x2
20.92	0.86	x1
21.78	1.98	x2
23.76	0.12	x1
23.88	0.06	x2
23.94	0.54	x1
24.48	0.32	x2
24.8	0.18	x1
24.98	0.04	x2
25.02	0.44	x1
25.46	0.28	x2
25.74	0.34	x1
26.08	0.02	x2
26.1	0.34	x1
26.44	0.04	x2
26.48	0.06	x1
26.54	0.14	x2
26.68	0.04	x1
26.72	0.2	x2
26.92	0.3	x1
27.22	0.44	x2
27.66	0.18	x1
27.84	0.08	x2
27.92	0.32	x1
28.24	0.04	x2
28.28	0.06	x1
28.34	0.04	x2
28.38	0.2	x1
28.58	0.32	x2
28.9	0.26	x1
29.16	0.08	x2
29.24	0.22	x1
29.46	0.08	x2
29.54	0.16	x1
29.7	0.22	x2
29.92	0.02	x1
29.94	0.36	x2
30.3	0.34	x1
30.64	0.06	x2
30.7	0.04	x1
30.74	0.16	x2
30.9	0.08	x1
30.98	0.3	x2
31.28	0.8	x1
32.08	0.06	x2
32.14	0.14	x1
32.28	0.18	x2
32.46	0.02	x1
32.48	0.22	x2
32.7	0.12	x1
32.82	0.06	x2
32.88	0.16	x1
33.04	0.66	x2
33.7	0.18	x1
33.88	0.14	x2
34.02	0.02	x1
34.04	0.18	x2
34.22	0.08	x1
34.3	0.18	x2
34.48	1.6	x1
36.08	0.16	x2
36.24	0.52	x1
36.76	0.04	x2
36.8	0.06	x1
36.86	0.04	x2
36.9	0.12	x1
37.02	0.28	x2
37.3	0.06	x1
37.36	0.62	x2
37.98	0.1	x1
38.08	0.28	x2
38.36	0.1	x1
38.46	0.04	x2
38.5	0.14	x1
38.64	0.1	x2
38.74	1.16	x1
39.9	0.3	x2
40.2	0.08	x1
40.28	0.14	x2
40.42	0.12	x1
40.54	0.12	x2
40.66	0.08	x1
40.74	0.14	x2
40.88	0.24	x1
41.12	0.9	x2
42.02	1.14	x1
43.16	0.04	x2
43.2	0.48	x1
43.68	0.16	x2
43.84	0.32	x1
44.16	0.18	x2
44.34	0.36	x1
44.7	0.92	x2
45.62	0.62	x1
46.24	0.14	x2
46.38	0.2	x1
46.58	0.12	x2
46.7	0.42	x1
47.12	0.24	x2
47.36	0.22	x1
47.58	0.32	x2
47.9	0.6	x1
48.5	0.22	x2
48.72	0.2	x1
