onset	duration	trial_type
0	15.18	x0
15.18	0.3	x1
15.48	0.04	x2
15.52	0.04	x1
15.56	0.02	x2
15.58	0.02	x1
15.6	0.06	x2
15.66	1.72	x1
17.38	0.04	x2
17.42	0.28	x1
17.7	0.02	x2
17.72	0.32	x1
18.04	0.02	x2
18.06	1.54	x1
19.6	0.18	x2
19.78	0.54	x1
20.32	0.06	x2
20.38	0.88	x1
21.26	0.12	x2
21.38	0.06	x1
21.44	0.04	x2
21.48	1.44	x1
22.92	0.02	x2
22.94	0.86	x1
23.8	0.12	x2
23.92	0.04	x1
23.96	0.6	x2
24.56	0.02	x1
24.58	0.04	x2
24.62	0.04	x1
24.66	0.1	x2
24.76	0.64	x1
25.4	0.02	x2
25.42	0.64	x1
26.06	0.1	x2
26.16	0.34	x1
26.5	0.04	x2
26.54	0.12	x1
26.66	0.12	x2
26.78	0.08	x1
26.86	0.1	x2
26.96	0.18	x1
27.14	0.38	x2
27.52	0.04	x1
27.56	0.08	x2
27.64	0.1	x1
27.74	0.02	x2
27.76	0.04	x1
27.8	0.02	x2
27.82	0.04	x1
27.86	0.16	x2
28.02	0.02	x1
28.04	0.04	x2
28.08	0.08	x1
28.16	0.06	x2
28.22	0.28	x1
28.5	0.24	x2
28.74	0.08	x1
28.82	0.04	x2
28.86	0.04	x1
28.9	0.04	x2
28.94	0.62	x1
29.56	0.02	x2
29.58	0.04	x1
29.62	0.14	x2
29.76	0.32	x1
30.08	0.06	x2
30.14	0.66	x1
30.8	0.06	x2
30.86	0.62	x1
31.48	0.12	x2
31.6	0.06	x1
31.66	0.02	x2
31.68	0.04	x1
31.72	0.08	x2
31.8	0.24	x1
32.04	0.02	x2
32.06	0.38	x1
32.44	0.02	x2
32.46	0.02	x1
32.48	0.38	x2
32.86	0.04	x1
32.9	0.04	x2
32.94	0.06	x1
33	0.02	x2
33.02	0.42	x1
33.44	0.08	x2
33.52	0.24	x1
33.76	0.1	x2
33.86	0.06	x1
33.92	0.18	x2
34.1	0.06	x1
34.16	0.04	x2
34.2	0.04	x1
34.24	0.02	x2
34.26	0.32	x1
34.58	0.08	x2
34.66	0.02	x1
34.68	0.02	x2
34.7	0.02	x1
34.72	0.08	x2
34.8	0.02	x1
34.82	0.02	x2
34.84	0.54	x1
35.38	0.06	x2
35.44	0.08	x1
35.52	0.02	x2
35.54	0.66	x1
36.2	0.04	x2
36.24	0.3	x1
36.54	0.06	x2
36.6	0.46	x1
37.06	0.2	x2
37.26	0.02	x1
37.28	0.18	x2
37.46	0.02	x1
37.48	0.02	x2
37.5	0.04	x1
37.54	0.02	x2
37.56	0.02	x1
37.58	0.02	x2
37.6	0.02	x1
37.62	0.04	x2
37.66	0.08	x1
37.74	0.02	x2
37.76	1.1	x1
38.86	0.04	x2
38.9	0.12	x1
39.02	0.1	x2
39.12	0.04	x1
39.16	0.02	x2
39.18	0.02	x1
39.2	0.18	x2
39.38	0.04	x1
39.42	0.06	x2
39.48	0.64	x1
40.12	0.06	x2
40.18	0.4	x1
40.58	0.02	x2
40.6	0.04	x1
40.64	0.02	x2
40.66	0.44	x1
41.1	0.02	x2
41.12	0.72	x1
41.84	0.02	x2
41.86	0.3	x1
42.16	0.02	x2
42.18	0.08	x1
42.26	0.22	x2
42.48	0.22	x1
42.7	0.1	x2
42.8	0.04	x1
42.84	0.02	x2
42.86	0.58	x1
43.44	0.12	x2
43.56	3.16	x1
46.72	0.04	x2
46.76	0.06	x1
46.82	0.02	x2
46.84	0.06	x1
46.9	0.02	x2
46.92	0.08	x1
47	0.16	x2
47.16	0.58	x1
47.74	0.28	x2
48.02	0.16	x1
48.18	0.1	x2
48.28	0.08	x1
48.36	0.66	x2
49.02	0.08	x1
49.1	0.08	x2
49.18	0.62	x1
