time	acceleration_x	acceleration_y	acceleration_z	gyroscope_x	gyroscope_y	gyroscope_z	magnetometer_x	magnetometer_y	magnetometer_z	quaternion_w	quaternion_x	quaternion_y	quaternion_z
0	-8.3037	-0.4169	4.5851	0.0094	-0.0169	-0.0508	18.5226	3.2898	-18.4872	0.1019	-0.5072	0.0098	0.8557
0.01	-8.3119	-0.4111	4.5937	0.0085	-0.0140	-0.0517	18.4941	3.2098	-18.5524	0.1020	-0.5072	0.0099	0.8557
0.02	-8.3139	-0.4033	4.5948	0.0071	-0.0194	-0.0536	18.5353	3.4245	-18.6171	0.1021	-0.5072	0.0100	0.8558
0.03	-8.3145	-0.4058	4.6061	-0.0008	-0.0220	-0.0565	18.4160	3.3052	-18.6075	0.1022	-0.5071	0.0100	0.8557
0.04	-8.3051	-0.4177	4.6069	0.0014	-0.0245	-0.0551	18.6141	3.2257	-18.5814	0.1023	-0.5071	0.0101	0.8558
0.05	-8.2795	-0.4217	4.6019	0.0068	-0.0225	-0.0542	18.4901	3.0391	-18.6477	0.1024	-0.5070	0.0102	0.8558
0.06	-8.2698	-0.4227	4.6179	-0.0003	-0.0147	-0.0540	18.7149	3.1426	-18.4256	0.1025	-0.5070	0.0103	0.8559
0.07	-8.2741	-0.4186	4.6108	-0.0038	-0.0120	-0.0576	18.8179	3.0379	-18.4989	0.1026	-0.5069	0.0104	0.8557
0.08	-8.2490	-0.4173	4.6110	-0.0127	-0.0030	-0.0524	18.8591	2.8552	-18.6086	0.1026	-0.5070	0.0104	0.8558
0.09	-8.2402	-0.4077	4.6027	-0.0135	0.0063	-0.0537	18.8745	3.1971	-18.6300	0.1027	-0.5070	0.0104	0.8557
0.1	-8.2422	-0.4059	4.6036	-0.0143	0.0041	-0.0421	18.4863	3.0156	-18.7402	0.1027	-0.5071	0.0105	0.8556
0.11	-8.2572	-0.4110	4.6043	-0.0190	0.0047	-0.0448	18.7133	3.1723	-18.5350	0.1027	-0.5072	0.0105	0.8557
0.12	-8.2833	-0.4232	4.6042	-0.0166	0.0190	-0.0466	18.8324	3.2311	-18.8372	0.1027	-0.5073	0.0105	0.8555
0.13	-8.3043	-0.4382	4.6017	-0.0256	0.0176	-0.0442	18.6230	3.0069	-18.5719	0.1027	-0.5075	0.0106	0.8555
0.14	-8.3236	-0.4454	4.5897	-0.0217	0.0220	-0.0519	18.7263	3.2374	-18.3936	0.1027	-0.5075	0.0106	0.8553
0.15	-8.3303	-0.4568	4.5806	-0.0297	0.0201	-0.0515	18.8749	3.4454	-18.2913	0.1027	-0.5077	0.0105	0.8553
0.16	-8.3409	-0.4686	4.5825	-0.0245	0.0168	-0.0492	18.9154	3.2020	-18.2414	0.1027	-0.5079	0.0105	0.8552
0.17	-8.3416	-0.4773	4.5700	-0.0158	0.0151	-0.0488	18.9366	3.3287	-18.4071	0.1027	-0.5080	0.0106	0.8551
0.18	-8.3325	-0.4779	4.5620	-0.0161	0.0153	-0.0479	18.8634	3.3551	-18.2957	0.1027	-0.5081	0.0106	0.8551
