name	x	y	z	sph_radius	sph_theta	sph_phi	theta	radius	preimpedance	postimpedance
Fp1	97.028	30.551	39.352	109.071	17.477	21.149	-17.477	0.383	6	0
Fp2	99.262	-34.121	41.381	112.825	-18.970	21.517	18.970	0.380	0	1
F7	52.719	70.739	34.915	94.881	53.304	21.591	-53.304	0.380	9	3
F3	67.100	50.841	81.452	117.139	37.151	44.054	-37.151	0.255	12	4
Fz	76.802	-4.962	110.308	134.503	-3.697	55.097	3.697	0.194	5	0
F4	64.143	-57.290	88.658	123.518	-41.770	45.871	41.770	0.245	14	6
F8	52.466	-78.928	42.863	104.017	-56.387	24.335	56.387	0.365	18	14
FC5	33.002	74.196	68.315	106.118	66.021	40.073	-66.021	0.277	10	5
FC1	43.152	29.349	124.298	134.809	34.220	67.225	-34.220	0.127	6	0
FC2	37.213	-40.736	124.151	135.859	-47.588	66.039	47.588	0.133	0	0
FC6	30.593	-83.253	72.651	114.652	-69.823	39.321	69.823	0.282	17	10
T7	-5.677	88.542	45.369	99.651	93.669	27.083	-93.669	0.350	18	8
C3	5.427	62.774	105.600	122.969	85.059	59.177	-85.059	0.171	11	4
Cz	7.861	-5.028	144.094	144.395	-32.602	86.295	32.602	0.021	0	0
C4	-0.168	-72.281	108.900	130.705	-90.133	56.426	90.133	0.187	2	1
T8	-9.265	-95.971	47.476	107.472	-95.514	26.215	95.514	0.354	18	7
EOG_HL	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	0
CP5	-31.575	82.413	80.633	119.543	110.964	42.416	-110.964	0.264	19	7
CP1	-26.444	31.053	137.491	143.413	130.418	73.477	-130.418	0.092	4	0
CP2	-33.648	-38.733	134.131	143.609	-130.981	69.067	130.981	0.116	7	1
CP6	-38.838	-84.300	83.179	124.634	-114.736	41.866	114.736	0.267	9	3
EOG_HR	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	0
P7	-65.898	77.227	55.569	115.735	130.474	28.695	-130.474	0.341	15	3
P3	-61.630	52.738	109.542	136.305	139.446	53.480	-139.446	0.203	9	2
Pz	-67.248	-1.983	128.663	145.191	-178.311	62.395	178.311	0.153	0	0
P4	-70.039	-54.132	104.356	136.843	-142.300	49.694	142.300	0.224	13	5
P8	-71.989	-73.868	54.143	116.492	-134.262	27.696	134.262	0.346	8	2
EOG_VA	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1
O1	-106.843	33.754	65.131	129.603	162.467	30.169	-162.467	0.332	9	3
Oz	-111.280	3.672	64.551	128.700	178.110	30.103	-178.110	0.333	10	2
O2	-107.451	-23.941	61.668	126.182	-167.439	29.257	167.439	0.337	14	6
EOG_VB	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8	1
AF7	79.385	55.866	33.132	102.571	35.135	18.845	-35.135	0.395	8	1
AF3	89.355	32.888	71.133	118.853	20.207	36.763	-20.207	0.296	20	7
AF4	88.161	-41.834	73.282	122.036	-25.385	36.905	25.385	0.295	9	0
AF8	78.834	-63.369	39.577	108.613	-38.793	21.370	38.793	0.381	4	0
F5	62.588	63.430	58.960	106.849	45.383	33.491	-45.383	0.314	3	0
F1	73.770	26.685	104.282	130.494	19.887	53.047	-19.887	0.205	10	2
F2	70.032	-33.614	107.835	132.901	-25.640	54.232	25.640	0.199	5	1
F6	60.605	-69.641	66.857	113.985	-48.969	35.912	48.969	0.300	2	0
AFz	98.450	-5.887	75.587	124.259	-3.422	37.467	3.422	0.292	8	3
FT7	23.499	82.193	37.984	93.545	74.045	23.957	-74.045	0.367	10	5
FC3	39.241	57.692	97.965	120.272	55.777	54.541	-55.777	0.197	17	5
FC4	35.284	-66.032	101.967	126.501	-61.882	53.712	61.882	0.202	4	4
FT8	21.515	-91.761	43.268	103.707	-76.804	24.659	76.804	0.363	13	4
FCz	42.762	-4.422	130.906	137.784	-5.904	71.820	5.904	0.101	3	0
C5	1.398	82.091	75.347	111.437	89.025	42.543	-89.025	0.264	21	10
C1	8.248	30.070	135.714	139.250	74.662	77.061	-74.662	0.072	19	29
C2	3.439	-42.596	135.870	142.432	-85.384	72.540	85.384	0.097	0	0
C6	-4.915	-90.342	77.002	118.807	-93.114	40.401	93.114	0.276	21	5
TP7	-38.403	88.077	50.980	108.772	113.558	27.949	-113.558	0.345	16	6
