onset	duration	trial_type
0	28.06	x0
28.06	4.14	x8
32.2	4.22	x5
36.42	3.12	x0
39.54	4.2	x8
43.74	4.22	x5
47.96	3.68	x0
51.64	4.22	x8
55.86	4.2	x5
60.06	1.68	x0
61.74	4.2	x8
65.94	2.46	x5
68.4	29.66	x81
98.06	4.2	x5
102.26	53.68	x0
155.94	4.2	x8
160.14	4.24	x5
164.38	27.34	x0
191.72	4.22	x8
195.94	5.34	x81
201.28	4.24	x5
205.52	6.96	x0
212.48	4.2	x8
216.68	4.22	x5
220.9	22.16	x0
243.06	4.2	x8
247.26	4.22	x5
251.48	19.62	x0
271.1	4.22	x8
275.32	4.24	x5
279.56	13.1	x0
292.66	4.2	x8
296.86	4.22	x5
301.08	3.82	x0
304.9	4.2	x8
309.1	4.22	x5
313.32	18.6	x0
331.92	4.22	x8
336.14	4.22	x5
340.36	8.2	x0
348.56	4.2	x8
352.76	2.46	x81
355.22	1.76	x5
356.98	3.52	x0
360.5	4.2	x8
364.7	4.22	x5
368.92	3.5	x0
372.42	2.74	x8
