time	acceleration_x	acceleration_y	acceleration_z	gyroscope_x	gyroscope_y	gyroscope_z	magnetometer_x	magnetometer_y	magnetometer_z	quaternion_w	quaternion_x	quaternion_y	quaternion_z
0	-0.5324	-9.3023	-2.3029	0.0241	-0.0104	0.0140	-25.5394	10.4070	10.1251	0.1076	-0.0914	0.7827	-0.6062
0.01	-0.5455	-9.3081	-2.3158	0.0122	-0.0074	0.0116	-25.6033	10.2955	10.2512	0.1076	-0.0914	0.7827	-0.6062
0.02	-0.5444	-9.3055	-2.3123	0.0192	-0.0061	0.0121	-25.6684	10.1397	10.1134	0.1076	-0.0914	0.7827	-0.6062
0.03	-0.5479	-9.2957	-2.3077	0.0187	-0.0057	0.0105	-25.5141	10.4689	10.0297	0.1076	-0.0914	0.7827	-0.6062
0.04	-0.5537	-9.3064	-2.3180	0.0144	-0.0069	0.0060	-25.6125	10.3791	9.9973	0.1076	-0.0914	0.7827	-0.6061
0.05	-0.5513	-9.3105	-2.3150	0.0192	-0.0084	0.0101	-25.7874	10.3194	10.1046	0.1076	-0.0914	0.7828	-0.6062
0.06	-0.5523	-9.3052	-2.3076	0.0238	-0.0097	0.0148	-25.5322	10.3285	10.1009	0.1076	-0.0914	0.7827	-0.6061
0.07	-0.5465	-9.3109	-2.3101	0.0225	-0.0109	0.0150	-25.4798	10.5641	10.1425	0.1077	-0.0914	0.7827	-0.6062
0.08	-0.5364	-9.3076	-2.3127	0.0216	-0.0057	0.0056	-25.7679	10.5629	10.1668	0.1076	-0.0914	0.7827	-0.6061
0.09	-0.5283	-9.3059	-2.3088	0.0200	-0.0085	0.0076	-25.8223	10.4197	10.0808	0.1076	-0.0914	0.7827	-0.6062
0.1	-0.5220	-9.3056	-2.3123	0.0237	-0.0106	0.0024	-25.6951	10.3208	10.1310	0.1076	-0.0914	0.7827	-0.6061
0.11	-0.5222	-9.3045	-2.3110	0.0164	-0.0064	0.0082	-25.7363	10.4821	9.8527	0.1076	-0.0914	0.7827	-0.6062
0.12	-0.5296	-9.3074	-2.3127	0.0203	-0.0059	0.0054	-25.8302	10.4709	10.0582	0.1076	-0.0914	0.7827	-0.6062
0.13	-0.5366	-9.3059	-2.3088	0.0194	-0.0020	0.0057	-25.7115	10.3163	10.2216	0.1075	-0.0914	0.7827	-0.6061
0.14	-0.5493	-9.3028	-2.3106	0.0185	-0.0048	0.0089	-25.6320	10.2663	10.0871	0.1075	-0.0914	0.7828	-0.6062
0.15	-0.5655	-9.3059	-2.3138	0.0263	-0.0065	0.0061	-25.7651	10.2314	10.1421	0.1075	-0.0914	0.7827	-0.6062
0.16	-0.5736	-9.3067	-2.3146	0.0174	-0.0130	0.0066	-25.8346	10.3283	10.0289	0.1075	-0.0914	0.7828	-0.6062
0.17	-0.5801	-9.3031	-2.3005	0.0163	-0.0110	0.0042	-25.6030	10.3339	10.0292	0.1075	-0.0915	0.7827	-0.6061
0.18	-0.5840	-9.3015	-2.3027	0.0256	-0.0141	0.0125	-25.4490	10.3652	9.8997	0.1075	-0.0915	0.7827	-0.6062
0.19	-0.5776	-9.3020	-2.2967	0.0161	-0.0129	0.0093	-25.6351	10.2808	10.0261	0.1076	-0.0915	0.7827	-0.6061
0.2	-0.5680	-9.3045	-2.2920	0.0103	-0.0104	0.0106	-25.6246	10.2518	9.9622	0.1076	-0.0915	0.7827	-0.6061
0.21	-0.5515	-9.3092	-2.2973	0.0150	-0.0090	0.0059	-25.6334	10.2524	9.9292	0.1076	-0.0915	0.7828	-0.6061
0.22	-0.5430	-9.3037	-2.2951	0.0180	-0.0113	0.0103	-25.7634	10.2793	10.0900	0.1076	-0.0915	0.7828	-0.6061
0.23	-0.5380	-9.3039	-2.2856	0.0171	-0.0088	0.0105	-25.6187	10.3994	10.1330	0.1076	-0.0915	0.7828	-0.6061
0.24	-0.5280	-9.3090	-2.2941	0.0223	-0.0095	0.0085	-25.7353	10.5416	10.0067	0.1076	-0.0915	0.7827	-0.6060
0.25	-0.5124	-9.3073	-2.3037	0.0221	-0.0096	0.0126	-25.6790	10.2257	10.2566	0.1076	-0.0915	0.7828	-0.6061
0.26	-0.5088	-9.3026	-2.3008	0.0169	-0.0081	0.0113	-25.6607	10.3951	10.1420	0.1076	-0.0915	0.7828	-0.6060
0.27	-0.5146	-9.3092	-2.3101	0.0137	-0.0055	0.0113	-25.7404	10.5629	10.0812	0.1076	-0.0915	0.7828	-0.6060
0.28	-0.5194	-9.3071	-2.3141	0.0166	-0.0052	0.0049	-25.6991	10.3659	10.1410	0.1076	-0.0915	0.7828	-0.6060
0.29	-0.5229	-9.3040	-2.3043	0.0132	-0.0061	0.0052	-25.9826	10.4570	10.0478	0.1075	-0.0915	0.7828	-0.6060
0.3	-0.5293	-9.3024	-2.3082	0.0202	-0.0074	0.0109	-25.8860	10.5285	10.0469	0.1075	-0.0915	0.7829	-0.6060
0.31	-0.5351	-9.3070	-2.3162	0.0194	-0.0076	0.0014	-25.8846	10.3930	10.2144	0.1075	-0.0915	0.7828	-0.6059
0.32	-0.5296	-9.3074	-2.3155	0.0219	-0.0074	0.0049	-25.8704	10.4307	10.2931	0.1075	-0.0915	0.7829	-0.6060
0.33	-0.5245	-9.3056	-2.3135	0.0155	-0.0033	0.0035	-25.9205	10.5216	10.2557	0.1074	-0.0915	0.7829	-0.6060
0.34	-0.5181	-9.3060	-2.3226	0.0140	-0.0100	0.0056	-25.7233	10.4403	10.0941	0.1074	-0.0916	0.7829	-0.6060
0.35	-0.5193	-9.3100	-2.3321	0.0197	-0.0058	0.0056	-25.7301	10.3052	10.1280	0.1074	-0.0916	0.7829	-0.6059
0.36	-0.5196	-9.3032	-2.3351	0.0213	-0.0062	0.0095	-25.4369	10.2702	10.0944	0.1074	-0.0916	0.7829	-0.6059
0.37	-0.5255	-9.3061	-2.3427	0.0179	-0.0094	0.0102	-25.2502	10.4124	10.1968	0.1074	-0.0916	0.7829	-0.6059
