onset	duration	trial_type
0	15.18	x0
15.18	0.04	x2
15.22	0.26	x1
15.48	0.16	x2
15.64	0.5	x1
16.14	0.4	x2
16.54	0.12	x1
16.66	0.2	x2
16.86	0.28	x1
17.14	0.06	x2
17.2	0.02	x1
17.22	0.14	x2
17.36	0.1	x1
17.46	0.08	x2
17.54	0.42	x1
17.96	0.06	x2
18.02	0.52	x1
18.54	0.08	x2
18.62	0.12	x1
18.74	0.06	x2
18.8	0.2	x1
19	0.02	x2
19.02	0.04	x1
19.06	0.26	x2
19.32	0.12	x1
19.44	0.08	x2
19.52	0.12	x1
19.64	0.06	x2
19.7	0.1	x1
19.8	0.02	x2
19.82	0.06	x1
19.88	0.08	x2
19.96	0.3	x1
20.26	0.22	x2
20.48	0.14	x1
20.62	0.42	x2
21.04	0.1	x1
21.14	0.2	x2
21.34	0.1	x1
21.44	0.12	x2
21.56	0.66	x1
22.22	0.16	x2
22.38	0.68	x1
23.06	0.16	x2
23.22	0.28	x1
23.5	0.12	x2
23.62	1.14	x1
24.76	0.12	x2
24.88	0.06	x1
24.94	0.02	x2
24.96	0.38	x1
25.34	0.08	x2
25.42	0.68	x1
26.1	0.36	x2
26.46	0.98	x1
27.44	0.04	x2
27.48	0.06	x1
27.54	0.2	x2
27.74	0.5	x1
28.24	0.02	x2
28.26	0.26	x1
28.52	0.3	x2
28.82	0.06	x1
28.88	0.02	x2
28.9	0.18	x1
29.08	0.08	x2
29.16	0.32	x1
29.48	0.12	x2
29.6	0.14	x1
29.74	0.06	x2
29.8	0.34	x1
30.14	0.08	x2
30.22	0.06	x1
30.28	0.1	x2
30.38	1.16	x1
31.54	0.02	x2
31.56	0.12	x1
31.68	0.26	x2
31.94	0.28	x1
32.22	0.7	x2
32.92	0.14	x1
33.06	0.08	x2
33.14	0.28	x1
33.42	0.44	x2
33.86	0.56	x1
34.42	0.18	x2
34.6	0.06	x1
34.66	0.08	x2
34.74	0.78	x1
35.52	0.08	x2
35.6	0.08	x1
35.68	0.48	x2
36.16	0.02	x1
36.18	0.26	x2
36.44	1.16	x1
37.6	0.12	x2
37.72	0.5	x1
38.22	0.16	x2
38.38	0.54	x1
38.92	0.06	x2
38.98	0.1	x1
39.08	0.08	x2
39.16	0.1	x1
39.26	0.04	x2
39.3	0.3	x1
39.6	0.16	x2
39.76	0.14	x1
39.9	0.54	x2
40.44	0.06	x1
40.5	0.2	x2
40.7	0.26	x1
40.96	0.42	x2
41.38	0.04	x1
